image,bbox,conf
00021adfb725ed.jpg,[[0  103  803  656]],[0.834961]
000562241d384d.jpg,[[114  557  3504  1513]],[0.65918]
0007c33415ce37.jpg,[[4  421  3346  1656]],[0.572754]
0007d9bca26a99.jpg,[[0  62  2335  1509]],[0.563965]
00087baf5cef7a.jpg,[[1099  1514  3579  2034]],[0.695801]
000a8f2d5c316a.jpg,[[377  421  2109  1118]],[0.723145]
000be9acf46619.jpg,[[12  22  675  132]],[0.807617]
000bef247c7a42.jpg,[[1  1233  2787  1590]],[0.658203]
000c3d63069748.jpg,[[24  50  452  148]],[0.796387]
000c476c11bad5.jpg,[[1173  677  2252  1231]],[0.731934]
001001f099519f.jpg,[[766  1013  2124  1401]],[0.664551]
00103cbe9d25ce.jpg,[[579  484  2196  968]],[0.756348]
00144776eb476d.jpg,[[1348  308  2028  827]],[0.656738]
00167e8375c967.jpg,[[76  73  301  143]],[0.417725]
00177f3c614d1e.jpg,[[543  1076  2149  1789]],[0.755859]
0017b3749cd769.jpg,[[1434  986  2365  1427]],[0.785156]
0018064338b499.jpg,[[6  0  2237  337]],[0.742188]
001b0900f56e89.jpg,[[1330  1140  3579  1513]],[0.71875]
001cfade605960.jpg,[[13  0  3589  479]],[0.839844]
001f1a1f22da96.jpg,[[1620  840  2308  1067]],[0.708008]
0020004d64ae20.jpg,[[598  948  3357  1602]],[0.788086]
00206a224e68de.jpg,[[0  0  1916  428]],[0.870605]
0022bdb8eb5684.jpg,[[17  67  863  235]],[0.803223]
00234b893ea9e8.jpg,[[0  63  360  245]],[0.433594]
0024057bbc89a4.jpg,[[1942  1149  2291  1370]],[0.748535]
00243d4b15bafc.jpg,[[907  382  1578  545]],[0.508789]
002618d6f63ebc.jpg,[[37  192  1912  625]],[0.844727]
0028f6fa123686.jpg,[[1298  487  2113  1035]],[0.233765]
0029d877c29ab4.jpg,[[0  3  1127  723]],[0.858398]
002ac5f9ad7c10.jpg,[[72  527  3599  1950]],[0.390869]
002e00960cec44.jpg,[[0  122  1195  810]],[0.680176]
002fb5fee50b97.jpg,[[6  124  2544  675]],[0.82959]
0030835e895969.jpg,[[1146  987  1981  1295]],[0.816895]
0032f90c7732b0.jpg,[[4  77  783  578]],[0.730957]
00354cd9244e28.jpg,[[682  501  1690  711]],[0.677246]
0036b5c11b39f3.jpg,[[757  1021  3442  2078]],[0.599121]
0038d3be2513c0.jpg,[[4  0  2459  392]],[0.737305]
0039599b58fc80.jpg,[[203  921  2055  1384]],[0.835938]
00398cfc6f6675.jpg,[[3  71  1051  250]],[0.84082]
0039955230421d.jpg,[[0  83  1269  359]],[0.723145]
003ab41b6147f4.jpg,[[7  8  1925  447]],[0.829102]
003e374b59c0e1.jpg,[[0  2  448  456]],[0.773438]
003ffd805a5910.jpg,[[0  9  602  469]],[0.733398]
00405189464f9d.jpg,[[92  197  991  407]],[0.84082]
004132b34ded14.jpg,[[496  885  3178  1450]],[0.817383]
0042dfc65c7987.jpg,[[116  172  1903  611]],[0.675781]
0044ec4ae5ecfd.jpg,[[537  699  2039  1321]],[0.760742]
0044fb81b4f1c7.jpg,[[215  267  986  574]],[0.548828]
0046ceef89b3fc.jpg,[[1494  1114  2085  1289]],[0.65918]
004797c1c43563.jpg,[[2  0  1814  1094]],[0.695312]
0049b56a584eb1.jpg,[[842  926  2071  1444]],[0.751953]
004a0038d162d9.jpg,[[711  638  1448  794]],[0.674805]
004a7fef39cf16.jpg,[[432  512  1840  777]],[0.799316]
004a923b0b401e.jpg,[[1219  371  1941  724]],[0.651367]
004efe00a3e100.jpg,[[0  31  1840  404]],[0.831055]
005135ee15df6c.jpg,[[1  156  3445  2294]],[0.794922]
005248b53efb3c.jpg,[[176  859  3363  1618]],[0.793945]
0053d003390997.jpg,[[564  705  2841  1122]],[0.744141]
00549928dca501.jpg,[[522  786  2975  1441]],[0.831543]
005a9cc627a55d.jpg,[[0  14  2995  1500]],[0.70166]
005b72434149fa.jpg,[[0  0  858  1085]],[0.695801]
005e317de9a658.jpg,[[27  119  1548  367]],[0.787109]
005e53b1b6aada.jpg,[[1819  1119  2289  1289]],[0.722656]
005f85f23464f8.jpg,[[1724  899  2764  1246]],[0.826172]
006033d6691cef.jpg,[[4  0  3407  496]],[0.818848]
006077a8e080fa.jpg,[[4  272  2739  904]],[0.765625]
00621ef445e09f.jpg,[[326  723  1966  1238]],[0.390869]
